,movie_id,genre_id,genre,new_genre_id,new_movie_id
3701,77931,14,Fantasy,2,2196
3702,77931,16,Animation,7,2196
3703,77931,10751,Family,8,2196
3704,77931,35,Comedy,10,2196
3705,10137,14,Fantasy,2,1006
3706,10137,16,Animation,7,1006
3707,10137,10751,Family,8,1006
3708,10137,35,Comedy,10,1006
3709,16523,14,Fantasy,2,73
3710,16523,10751,Family,8,73
3711,150689,14,Fantasy,2,1445
3712,150689,18,Drama,5,1445
3713,150689,10751,Family,8,1445
3714,150689,10749,Romance,11,1445
3715,7980,14,Fantasy,2,2506
3716,7980,18,Drama,5,2506
3717,10756,14,Fantasy,2,1285
3718,10756,53,Thriller,6,1285
3719,10756,10751,Family,8,1285
3720,10756,35,Comedy,10,1285
3721,10756,9648,Mystery,13,1285
3722,76492,14,Fantasy,2,1579
3723,76492,16,Animation,7,1579
3724,76492,10751,Family,8,1579
3725,76492,35,Comedy,10,1579
3726,4523,14,Fantasy,2,1913
3727,4523,10751,Family,8,1913
3728,4523,35,Comedy,10,1913
3729,4523,10749,Romance,11,1913
3730,297,14,Fantasy,2,1661
3731,297,18,Drama,5,1661
3732,297,9648,Mystery,13,1661
3733,12107,14,Fantasy,2,1735
3734,12107,878,Science Fiction,3,1735
3735,12107,35,Comedy,10,1735
3736,12107,10749,Romance,11,1735
3737,9339,14,Fantasy,2,584
3738,9339,18,Drama,5,584
3739,9339,35,Comedy,10,584
3740,9339,10749,Romance,11,584
3741,16281,14,Fantasy,2,2692
3742,16281,35,Comedy,10,2692
3743,16281,27,Horror,12,2692
3744,310,14,Fantasy,2,172
3745,310,35,Comedy,10,172
3746,9986,14,Fantasy,2,918
3747,9986,10751,Family,8,918
3748,9986,35,Comedy,10,918
3749,55301,14,Fantasy,2,2327
3750,55301,16,Animation,7,2327
3751,55301,10751,Family,8,2327
3752,55301,35,Comedy,10,2327
3753,55301,10402,Music,16,2327
3754,10202,14,Fantasy,2,1047
3755,10202,10751,Family,8,1047
3756,10202,35,Comedy,10,1047
3757,10202,10749,Romance,11,1047
3758,11618,14,Fantasy,2,1817
3759,11618,53,Thriller,6,1817
3760,11618,27,Horror,12,1817
3761,11618,9648,Mystery,13,1817
3762,2300,14,Fantasy,2,1184
3763,2300,18,Drama,5,1184
3764,2300,16,Animation,7,1184
3765,2300,10751,Family,8,1184
3766,2300,35,Comedy,10,1184
3767,12159,14,Fantasy,2,1760
3768,12159,18,Drama,5,1760
3769,12159,10749,Romance,11,1760
3770,75,14,Fantasy,2,34
3771,75,878,Science Fiction,3,34
3772,75,35,Comedy,10,34
3773,9297,14,Fantasy,2,568
3774,9297,16,Animation,7,568
3775,9297,10751,Family,8,568
3776,9297,35,Comedy,10,568
3777,10808,14,Fantasy,2,1302
3778,10808,10751,Family,8,1302
3779,10808,35,Comedy,10,1302
3780,10808,10749,Romance,11,1302
3781,3050,14,Fantasy,2,1462
3782,3050,10751,Family,8,1462
3783,3050,35,Comedy,10,1462
3784,9697,14,Fantasy,2,767
3785,9697,18,Drama,5,767
3786,9697,53,Thriller,6,767
3787,9697,9648,Mystery,13,767
3788,23398,14,Fantasy,2,2540
3789,23398,16,Animation,7,2540
3790,23398,10751,Family,8,2540
3791,23398,35,Comedy,10,2540
3792,23398,10402,Music,16,2540
3793,9021,14,Fantasy,2,460
3794,9021,10751,Family,8,460
3795,9021,35,Comedy,10,460
3796,4244,14,Fantasy,2,1838
3797,4244,10751,Family,8,1838
3798,4244,35,Comedy,10,1838
3799,1427,14,Fantasy,2,728
3800,1427,80,Crime,4,728
3801,1427,18,Drama,5,728
3802,497,14,Fantasy,2,262
3803,497,80,Crime,4,262
3804,497,18,Drama,5,262
3805,170687,14,Fantasy,2,2488
3806,170687,16,Animation,7,2488
3807,170687,10751,Family,8,2488
3808,170687,35,Comedy,10,2488
3809,6435,14,Fantasy,2,2389
3810,6435,18,Drama,5,2389
3811,6435,35,Comedy,10,2389
3812,4958,14,Fantasy,2,2080
3813,4958,18,Drama,5,2080
3814,137321,14,Fantasy,2,2349
3815,137321,18,Drama,5,2349
3816,137321,10749,Romance,11,2349
3817,137321,9648,Mystery,13,2349
3818,9007,14,Fantasy,2,452
3819,9007,35,Comedy,10,452
3820,9007,10749,Romance,11,452
3821,8840,14,Fantasy,2,346
3822,6477,14,Fantasy,2,2402
3823,6477,16,Animation,7,2402
3824,6477,10751,Family,8,2402
3825,6477,35,Comedy,10,2402
3826,6477,10402,Music,16,2402
3827,9327,14,Fantasy,2,578
3828,9327,878,Science Fiction,3,578
3829,9327,35,Comedy,10,578
3830,9327,10749,Romance,11,578
3831,8839,14,Fantasy,2,345
3832,8839,10751,Family,8,345
3833,8839,35,Comedy,10,345
3834,795,14,Fantasy,2,439
3835,795,18,Drama,5,439
3836,795,10749,Romance,11,439
3837,9374,14,Fantasy,2,604
3838,9374,35,Comedy,10,604
3839,72105,14,Fantasy,2,2432
3840,72105,35,Comedy,10,2432
3841,224141,14,Fantasy,2,1415
3842,224141,35,Comedy,10,1415
3843,224141,10402,Music,16,1415
3844,928,14,Fantasy,2,509
3845,928,35,Comedy,10,509
3846,928,27,Horror,12,509
3847,44603,14,Fantasy,2,1656
3848,44603,18,Drama,5,1656
3849,109491,14,Fantasy,2,1433
3850,109491,18,Drama,5,1433
3851,109491,10749,Romance,11,1433
3852,1636,14,Fantasy,2,837
3853,1636,35,Comedy,10,837
3854,1636,10749,Romance,11,837
3855,5393,14,Fantasy,2,2141
3856,5393,878,Science Fiction,3,2141
3857,5393,16,Animation,7,2141
3858,5393,10751,Family,8,2141
3859,5393,35,Comedy,10,2141
3860,888,14,Fantasy,2,493
3861,888,10751,Family,8,493
3862,888,35,Comedy,10,493
3863,49730,14,Fantasy,2,298
3864,49730,53,Thriller,6,298
